X,Y,Terrain,TerrainName,Obstacle,Walkable,Description
0,0,15,未知,76,False,"未知 - 未知阻挡"
1,0,101,未知,103,False,"未知 - 未知阻挡"
2,0,101,未知,110,False,"未知 - 未知阻挡"
3,0,100,未知,32,False,"未知 - 未知阻挡"
4,0,111,未知,102,False,"未知 - 未知阻挡"
5,0,32,未知,109,False,"未知 - 未知阻挡"
6,0,105,未知,114,False,"未知 - 未知阻挡"
7,0,13,未知,10,False,"未知 - 未知阻挡"
8,0,0,地面,0,True,"地面 - 可通行"
9,0,0,地面,0,True,"地面 - 可通行"
10,0,0,地面,0,True,"地面 - 可通行"
11,0,0,地面,0,True,"地面 - 可通行"
12,0,2,草地,0,True,"草地 - 可通行"
13,0,0,地面,0,True,"地面 - 可通行"
14,0,0,地面,0,True,"地面 - 可通行"
15,0,0,地面,0,True,"地面 - 可通行"
16,0,0,地面,0,True,"地面 - 可通行"
17,0,0,地面,0,True,"地面 - 可通行"
18,0,0,地面,0,True,"地面 - 可通行"
19,0,0,地面,0,True,"地面 - 可通行"
20,0,0,地面,0,True,"地面 - 可通行"
21,0,0,地面,0,True,"地面 - 可通行"
22,0,0,地面,0,True,"地面 - 可通行"
23,0,0,地面,0,True,"地面 - 可通行"
24,0,1,水域,128,False,"水域 - 未知阻挡"
25,0,0,地面,0,True,"地面 - 可通行"
26,0,0,地面,128,False,"地面 - 未知阻挡"
27,0,0,地面,0,True,"地面 - 可通行"
28,0,0,地面,0,True,"地面 - 可通行"
29,0,0,地面,0,True,"地面 - 可通行"
30,0,103,未知,0,True,"未知 - 可通行"
31,0,0,地面,128,False,"地面 - 未知阻挡"
32,0,0,地面,0,True,"地面 - 可通行"
33,0,0,地面,128,False,"地面 - 未知阻挡"
34,0,0,地面,0,True,"地面 - 可通行"
35,0,0,地面,0,True,"地面 - 可通行"
36,0,0,地面,0,True,"地面 - 可通行"
37,0,0,地面,0,True,"地面 - 可通行"
38,0,2,草地,128,False,"草地 - 未知阻挡"
39,0,0,地面,0,True,"地面 - 可通行"
40,0,0,地面,128,False,"地面 - 未知阻挡"
41,0,0,地面,0,True,"地面 - 可通行"
42,0,0,地面,0,True,"地面 - 可通行"
43,0,0,地面,0,True,"地面 - 可通行"
44,0,103,未知,0,True,"未知 - 可通行"
45,0,0,地面,128,False,"地面 - 未知阻挡"
46,0,0,地面,0,True,"地面 - 可通行"
47,0,0,地面,128,False,"地面 - 未知阻挡"
48,0,0,地面,0,True,"地面 - 可通行"
49,0,0,地面,0,True,"地面 - 可通行"
50,0,0,地面,0,True,"地面 - 可通行"
51,0,0,地面,0,True,"地面 - 可通行"
52,0,3,石地,128,False,"石地 - 未知阻挡"
53,0,0,地面,0,True,"地面 - 可通行"
54,0,0,地面,128,False,"地面 - 未知阻挡"
55,0,0,地面,0,True,"地面 - 可通行"
56,0,0,地面,0,True,"地面 - 可通行"
57,0,0,地面,0,True,"地面 - 可通行"
58,0,103,未知,0,True,"未知 - 可通行"
59,0,0,地面,128,False,"地面 - 未知阻挡"
60,0,0,地面,0,True,"地面 - 可通行"
61,0,0,地面,128,False,"地面 - 未知阻挡"
62,0,0,地面,0,True,"地面 - 可通行"
63,0,0,地面,0,True,"地面 - 可通行"
64,0,0,地面,0,True,"地面 - 可通行"
65,0,0,地面,0,True,"地面 - 可通行"
66,0,4,沙地,128,False,"沙地 - 未知阻挡"
67,0,0,地面,0,True,"地面 - 可通行"
68,0,0,地面,128,False,"地面 - 未知阻挡"
69,0,0,地面,0,True,"地面 - 可通行"
70,0,0,地面,0,True,"地面 - 可通行"
71,0,0,地面,0,True,"地面 - 可通行"
72,0,103,未知,0,True,"未知 - 可通行"
73,0,0,地面,128,False,"地面 - 未知阻挡"
74,0,0,地面,0,True,"地面 - 可通行"
0,1,0,地面,128,False,"地面 - 未知阻挡"
1,1,0,地面,0,True,"地面 - 可通行"
2,1,0,地面,0,True,"地面 - 可通行"
3,1,0,地面,0,True,"地面 - 可通行"
4,1,0,地面,0,True,"地面 - 可通行"
5,1,5,雪地,128,False,"雪地 - 未知阻挡"
6,1,0,地面,0,True,"地面 - 可通行"
7,1,0,地面,128,False,"地面 - 未知阻挡"
8,1,0,地面,0,True,"地面 - 可通行"
9,1,0,地面,0,True,"地面 - 可通行"
10,1,0,地面,0,True,"地面 - 可通行"
11,1,103,未知,0,True,"未知 - 可通行"
12,1,0,地面,128,False,"地面 - 未知阻挡"
13,1,0,地面,0,True,"地面 - 可通行"
14,1,0,地面,128,False,"地面 - 未知阻挡"
15,1,0,地面,0,True,"地面 - 可通行"
16,1,0,地面,0,True,"地面 - 可通行"
17,1,0,地面,0,True,"地面 - 可通行"
18,1,0,地面,0,True,"地面 - 可通行"
19,1,6,未知,128,False,"未知 - 未知阻挡"
20,1,0,地面,0,True,"地面 - 可通行"
21,1,0,地面,128,False,"地面 - 未知阻挡"
22,1,0,地面,0,True,"地面 - 可通行"
23,1,0,地面,0,True,"地面 - 可通行"
24,1,0,地面,0,True,"地面 - 可通行"
25,1,103,未知,0,True,"未知 - 可通行"
26,1,0,地面,128,False,"地面 - 未知阻挡"
27,1,0,地面,0,True,"地面 - 可通行"
28,1,0,地面,128,False,"地面 - 未知阻挡"
29,1,0,地面,0,True,"地面 - 可通行"
30,1,0,地面,0,True,"地面 - 可通行"
31,1,0,地面,0,True,"地面 - 可通行"
32,1,0,地面,0,True,"地面 - 可通行"
33,1,7,未知,128,False,"未知 - 未知阻挡"
34,1,0,地面,0,True,"地面 - 可通行"
35,1,0,地面,128,False,"地面 - 未知阻挡"
36,1,0,地面,0,True,"地面 - 可通行"
37,1,0,地面,0,True,"地面 - 可通行"
38,1,0,地面,0,True,"地面 - 可通行"
39,1,103,未知,0,True,"未知 - 可通行"
40,1,0,地面,128,False,"地面 - 未知阻挡"
41,1,0,地面,0,True,"地面 - 可通行"
42,1,0,地面,128,False,"地面 - 未知阻挡"
43,1,0,地面,0,True,"地面 - 可通行"
44,1,0,地面,0,True,"地面 - 可通行"
45,1,0,地面,0,True,"地面 - 可通行"
46,1,0,地面,0,True,"地面 - 可通行"
47,1,8,未知,128,False,"未知 - 未知阻挡"
48,1,0,地面,0,True,"地面 - 可通行"
49,1,0,地面,128,False,"地面 - 未知阻挡"
50,1,0,地面,0,True,"地面 - 可通行"
51,1,0,地面,0,True,"地面 - 可通行"
52,1,0,地面,0,True,"地面 - 可通行"
53,1,103,未知,0,True,"未知 - 可通行"
54,1,0,地面,128,False,"地面 - 未知阻挡"
55,1,0,地面,0,True,"地面 - 可通行"
56,1,0,地面,128,False,"地面 - 未知阻挡"
57,1,0,地面,0,True,"地面 - 可通行"
58,1,0,地面,0,True,"地面 - 可通行"
59,1,0,地面,0,True,"地面 - 可通行"
60,1,0,地面,0,True,"地面 - 可通行"
61,1,9,未知,128,False,"未知 - 未知阻挡"
62,1,0,地面,0,True,"地面 - 可通行"
63,1,0,地面,128,False,"地面 - 未知阻挡"
64,1,0,地面,0,True,"地面 - 可通行"
65,1,0,地面,0,True,"地面 - 可通行"
66,1,0,地面,0,True,"地面 - 可通行"
67,1,103,未知,0,True,"未知 - 可通行"
68,1,0,地面,128,False,"地面 - 未知阻挡"
69,1,0,地面,0,True,"地面 - 可通行"
70,1,0,地面,128,False,"地面 - 未知阻挡"
71,1,0,地面,0,True,"地面 - 可通行"
72,1,0,地面,0,True,"地面 - 可通行"
73,1,0,地面,0,True,"地面 - 可通行"
74,1,0,地面,0,True,"地面 - 可通行"
0,2,10,未知,128,False,"未知 - 未知阻挡"
1,2,0,地面,0,True,"地面 - 可通行"
2,2,0,地面,128,False,"地面 - 未知阻挡"
3,2,0,地面,0,True,"地面 - 可通行"
4,2,0,地面,0,True,"地面 - 可通行"
5,2,0,地面,0,True,"地面 - 可通行"
6,2,103,未知,0,True,"未知 - 可通行"
7,2,0,地面,128,False,"地面 - 未知阻挡"
8,2,0,地面,0,True,"地面 - 可通行"
9,2,0,地面,128,False,"地面 - 未知阻挡"
10,2,0,地面,0,True,"地面 - 可通行"
11,2,0,地面,0,True,"地面 - 可通行"
12,2,0,地面,0,True,"地面 - 可通行"
13,2,0,地面,0,True,"地面 - 可通行"
14,2,11,未知,128,False,"未知 - 未知阻挡"
15,2,0,地面,0,True,"地面 - 可通行"
16,2,0,地面,128,False,"地面 - 未知阻挡"
17,2,0,地面,0,True,"地面 - 可通行"
18,2,0,地面,0,True,"地面 - 可通行"
19,2,0,地面,0,True,"地面 - 可通行"
20,2,103,未知,0,True,"未知 - 可通行"
21,2,0,地面,128,False,"地面 - 未知阻挡"
22,2,0,地面,0,True,"地面 - 可通行"
23,2,0,地面,128,False,"地面 - 未知阻挡"
24,2,0,地面,0,True,"地面 - 可通行"
25,2,0,地面,0,True,"地面 - 可通行"
26,2,0,地面,0,True,"地面 - 可通行"
27,2,0,地面,0,True,"地面 - 可通行"
28,2,12,未知,128,False,"未知 - 未知阻挡"
29,2,0,地面,0,True,"地面 - 可通行"
30,2,0,地面,128,False,"地面 - 未知阻挡"
31,2,0,地面,0,True,"地面 - 可通行"
32,2,0,地面,0,True,"地面 - 可通行"
33,2,0,地面,0,True,"地面 - 可通行"
34,2,103,未知,0,True,"未知 - 可通行"
35,2,0,地面,128,False,"地面 - 未知阻挡"
36,2,0,地面,0,True,"地面 - 可通行"
37,2,0,地面,128,False,"地面 - 未知阻挡"
38,2,0,地面,0,True,"地面 - 可通行"
39,2,0,地面,0,True,"地面 - 可通行"
40,2,0,地面,0,True,"地面 - 可通行"
41,2,0,地面,0,True,"地面 - 可通行"
42,2,13,未知,128,False,"未知 - 未知阻挡"
43,2,0,地面,0,True,"地面 - 可通行"
44,2,0,地面,128,False,"地面 - 未知阻挡"
45,2,0,地面,0,True,"地面 - 可通行"
46,2,0,地面,0,True,"地面 - 可通行"
47,2,0,地面,0,True,"地面 - 可通行"
48,2,103,未知,0,True,"未知 - 可通行"
49,2,0,地面,128,False,"地面 - 未知阻挡"
50,2,0,地面,0,True,"地面 - 可通行"
51,2,0,地面,128,False,"地面 - 未知阻挡"
52,2,0,地面,0,True,"地面 - 可通行"
53,2,0,地面,0,True,"地面 - 可通行"
54,2,0,地面,0,True,"地面 - 可通行"
55,2,0,地面,0,True,"地面 - 可通行"
56,2,14,未知,128,False,"未知 - 未知阻挡"
57,2,0,地面,0,True,"地面 - 可通行"
58,2,0,地面,128,False,"地面 - 未知阻挡"
59,2,0,地面,0,True,"地面 - 可通行"
60,2,0,地面,0,True,"地面 - 可通行"
61,2,0,地面,0,True,"地面 - 可通行"
62,2,103,未知,0,True,"未知 - 可通行"
63,2,0,地面,128,False,"地面 - 未知阻挡"
64,2,0,地面,0,True,"地面 - 可通行"
65,2,0,地面,128,False,"地面 - 未知阻挡"
66,2,0,地面,0,True,"地面 - 可通行"
67,2,0,地面,0,True,"地面 - 可通行"
68,2,0,地面,0,True,"地面 - 可通行"
69,2,0,地面,0,True,"地面 - 可通行"
70,2,15,未知,128,False,"未知 - 未知阻挡"
71,2,0,地面,0,True,"地面 - 可通行"
72,2,0,地面,128,False,"地面 - 未知阻挡"
73,2,0,地面,0,True,"地面 - 可通行"
74,2,0,地面,0,True,"地面 - 可通行"
0,3,0,地面,0,True,"地面 - 可通行"
1,3,103,未知,0,True,"未知 - 可通行"
2,3,0,地面,128,False,"地面 - 未知阻挡"
3,3,0,地面,0,True,"地面 - 可通行"
4,3,0,地面,128,False,"地面 - 未知阻挡"
5,3,0,地面,0,True,"地面 - 可通行"
6,3,0,地面,0,True,"地面 - 可通行"
7,3,0,地面,0,True,"地面 - 可通行"
8,3,0,地面,0,True,"地面 - 可通行"
9,3,16,未知,128,False,"未知 - 未知阻挡"
10,3,0,地面,0,True,"地面 - 可通行"
11,3,0,地面,128,False,"地面 - 未知阻挡"
12,3,0,地面,0,True,"地面 - 可通行"
13,3,0,地面,0,True,"地面 - 可通行"
14,3,0,地面,0,True,"地面 - 可通行"
15,3,103,未知,0,True,"未知 - 可通行"
16,3,0,地面,128,False,"地面 - 未知阻挡"
17,3,0,地面,0,True,"地面 - 可通行"
18,3,0,地面,128,False,"地面 - 未知阻挡"
19,3,0,地面,0,True,"地面 - 可通行"
20,3,0,地面,0,True,"地面 - 可通行"
21,3,0,地面,0,True,"地面 - 可通行"
22,3,0,地面,0,True,"地面 - 可通行"
23,3,17,未知,128,False,"未知 - 未知阻挡"
24,3,0,地面,0,True,"地面 - 可通行"
25,3,0,地面,128,False,"地面 - 未知阻挡"
